Lineup 1,Team 1,GP 1,MIN 1,OFFRTG 1,DEFRTG 1,NETRTG 1,Lineup 2,Team 2,GP 2,MIN 2,OFFRTG 2,DEFRTG 2,NETRTG 2,Common Players,Player Removed,Player Added,OFFRTG Difference,DEFRTG Difference,NETRTG Difference,Substituted Minutes
I. Hartenstein - S. Gilgeous-Alexander - L. Dort - J. Williams - C. Wallace,OKC,20,263,117.1,101.2,15.8,S. Gilgeous-Alexander - L. Dort - A. Wiggins - J. Williams - C. Wallace,OKC,14,44,122.8,117.5,5.3,"S. Gilgeous-Alexander, C. Wallace, L. Dort, J. Williams",I. Hartenstein,A. Wiggins,5.700000000000003,16.299999999999997,-10.5,219
I. Hartenstein - S. Gilgeous-Alexander - L. Dort - J. Williams - C. Wallace,OKC,20,263,117.1,101.2,15.8,I. Hartenstein - S. Gilgeous-Alexander - I. Joe - J. Williams - C. Wallace,OKC,11,37,100.0,122.4,-22.4,"I. Hartenstein, C. Wallace, S. Gilgeous-Alexander, J. Williams",L. Dort,I. Joe,-17.099999999999994,21.200000000000003,-38.2,226
I. Hartenstein - S. Gilgeous-Alexander - L. Dort - J. Williams - C. Wallace,OKC,20,263,117.1,101.2,15.8,I. Hartenstein - S. Gilgeous-Alexander - L. Dort - A. Wiggins - J. Williams,OKC,6,34,131.5,95.9,35.6,"I. Hartenstein, S. Gilgeous-Alexander, L. Dort, J. Williams",C. Wallace,A. Wiggins,14.400000000000006,-5.299999999999997,19.8,229
I. Hartenstein - S. Gilgeous-Alexander - L. Dort - J. Williams - C. Wallace,OKC,20,263,117.1,101.2,15.8,S. Gilgeous-Alexander - L. Dort - J. Williams - J. Williams - C. Wallace,OKC,7,31,100.0,110.6,-10.6,"C. Wallace, L. Dort, S. Gilgeous-Alexander, J. Williams",I. Hartenstein,,-17.099999999999994,9.399999999999991,-26.4,232
T. Harris - T. Hardaway Jr. - C. Cunningham - J. Ivey - J. Duren,DET,21,261,119.8,122.0,-2.1,T. Harris - T. Hardaway Jr. - C. Cunningham - J. Duren - A. Thompson,DET,17,178,111.5,112.0,-0.6,"J. Duren, C. Cunningham, T. Hardaway Jr., T. Harris",J. Ivey,A. Thompson,-8.299999999999997,-10.0,1.5,83
T. Harris - T. Hardaway Jr. - C. Cunningham - J. Ivey - J. Duren,DET,21,261,119.8,122.0,-2.1,T. Harris - T. Hardaway Jr. - M. Beasley - C. Cunningham - J. Duren,DET,32,140,108.7,116.6,-7.9,"J. Duren, C. Cunningham, T. Hardaway Jr., T. Harris",J. Ivey,M. Beasley,-11.099999999999994,-5.400000000000006,-5.800000000000001,121
T. Harris - T. Hardaway Jr. - C. Cunningham - J. Ivey - J. Duren,DET,21,261,119.8,122.0,-2.1,T. Harris - T. Hardaway Jr. - I. Stewart - C. Cunningham - J. Ivey,DET,12,83,116.7,115.1,1.6,"J. Ivey, T. Hardaway Jr., C. Cunningham, T. Harris",J. Duren,I. Stewart,-3.0999999999999943,-6.900000000000006,3.7,178
T. Harris - T. Hardaway Jr. - C. Cunningham - J. Ivey - J. Duren,DET,21,261,119.8,122.0,-2.1,T. Harris - M. Beasley - C. Cunningham - J. Ivey - J. Duren,DET,15,62,111.0,95.7,15.4,"J. Duren, J. Ivey, C. Cunningham, T. Harris",T. Hardaway Jr.,M. Beasley,-8.799999999999997,-26.299999999999997,17.5,199
T. Harris - T. Hardaway Jr. - C. Cunningham - J. Ivey - J. Duren,DET,21,261,119.8,122.0,-2.1,T. Harris - T. Hardaway Jr. - M. Beasley - J. Ivey - J. Duren,DET,7,52,103.8,124.5,-20.7,"J. Duren, J. Ivey, T. Hardaway Jr., T. Harris",C. Cunningham,M. Beasley,-16.0,2.5,-18.599999999999998,209
J. Harden - N. Powell - K. Dunn - I. Zubac - D. Jones Jr.,LAC,19,257,112.5,102.4,10.1,J. Harden - N. Powell - I. Zubac - D. Jones Jr. - T. Mann,LAC,13,169,110.6,120.5,-9.9,"D. Jones Jr., J. Harden, N. Powell, I. Zubac",K. Dunn,T. Mann,-1.9000000000000057,18.099999999999994,-20.0,88
